Sexo;Federación;Comunidad autónoma;periodo;Total
TOTAL;Actividades Subacuáticas;TOTAL;2020;30.444
TOTAL;Actividades Subacuáticas;TOTAL;2019;27.431
TOTAL;Actividades Subacuáticas;TOTAL;2018;27.888
TOTAL;Actividades Subacuáticas;TOTAL;2017;26.572
TOTAL;Actividades Subacuáticas;TOTAL;2016;26.122
TOTAL;Actividades Subacuáticas;TOTAL;2015;27.926
TOTAL;Actividades Subacuáticas;TOTAL;2014;30.302
TOTAL;Actividades Subacuáticas;TOTAL;2013;31.750
TOTAL;Actividades Subacuáticas;TOTAL;2012;33.544
TOTAL;Actividades Subacuáticas;TOTAL;2011;36.969
TOTAL;Actividades Subacuáticas;TOTAL;2010;37.978
TOTAL;Actividades Subacuáticas;TOTAL;2009;38.510
TOTAL;Actividades Subacuáticas;Andalucía;2024;3.970
TOTAL;Actividades Subacuáticas;Andalucía;2023;3.808
TOTAL;Actividades Subacuáticas;Andalucía;2022;3.482
TOTAL;Actividades Subacuáticas;Andalucía;2021;3.429
TOTAL;Actividades Subacuáticas;Andalucía;2020;3.243
TOTAL;Actividades Subacuáticas;Andalucía;2019;2.858
TOTAL;Actividades Subacuáticas;Andalucía;2018;2.590
TOTAL;Actividades Subacuáticas;Andalucía;2017;2.944
TOTAL;Actividades Subacuáticas;Andalucía;2016;2.720
TOTAL;Actividades Subacuáticas;Andalucía;2015;2.895
TOTAL;Actividades Subacuáticas;Andalucía;2014;2.935
TOTAL;Actividades Subacuáticas;Andalucía;2013;3.041
TOTAL;Actividades Subacuáticas;Andalucía;2012;3.272
TOTAL;Actividades Subacuáticas;Andalucía;2011;3.477
TOTAL;Actividades Subacuáticas;Andalucía;2010;3.650
TOTAL;Actividades Subacuáticas;Andalucía;2009;3.995
TOTAL;Actividades Subacuáticas;Aragón;2024;500
TOTAL;Actividades Subacuáticas;Aragón;2023;412
TOTAL;Actividades Subacuáticas;Aragón;2022;505
TOTAL;Actividades Subacuáticas;Aragón;2021;461
TOTAL;Actividades Subacuáticas;Aragón;2020;398
TOTAL;Actividades Subacuáticas;Aragón;2019;578
TOTAL;Actividades Subacuáticas;Aragón;2018;549
TOTAL;Actividades Subacuáticas;Aragón;2017;539
TOTAL;Actividades Subacuáticas;Aragón;2016;594
TOTAL;Actividades Subacuáticas;Aragón;2015;572
TOTAL;Actividades Subacuáticas;Aragón;2014;672
TOTAL;Actividades Subacuáticas;Aragón;2013;672
TOTAL;Actividades Subacuáticas;Aragón;2012;716
TOTAL;Actividades Subacuáticas;Aragón;2011;798
TOTAL;Actividades Subacuáticas;Aragón;2010;840
TOTAL;Actividades Subacuáticas;Aragón;2009;675
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2024;1.108
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2023;1.066
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2022;942
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2021;986
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2020;1.018
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2019;899
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2018;950
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2017;995
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2016;1.183
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2015;1.219
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2014;1.219
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2013;1.219
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2012;1.391
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2011;1.322
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2010;1.321
TOTAL;Actividades Subacuáticas;Asturias, Principado de;2009;1.466
TOTAL;Actividades Subacuáticas;Balears, Illes;2024;1.891
TOTAL;Actividades Subacuáticas;Balears, Illes;2023;1.758
TOTAL;Actividades Subacuáticas;Balears, Illes;2022;1.642
TOTAL;Actividades Subacuáticas;Balears, Illes;2021;1.718
TOTAL;Actividades Subacuáticas;Balears, Illes;2020;1.814
TOTAL;Actividades Subacuáticas;Balears, Illes;2019;1.408
